,dataset,method,accuracy,time_eval
0,BeetleFly,DTW,0.7,2.78
1,BME,DTW,0.89,2.098
2,Coffee,DTW,0.96,1.592
3,SwedishLeaf,DTW,0.75,133.898
4,BirdChicken,DTW,0.75,2.701
5,DistalPhalanxOutlineAgeGroup,DTW,0.71,10.672
6,ECG200,DTW,0.79,2.582
7,FaceFour,DTW,0.84,7.215
8,GunPoint,DTW,0.89,4.394
9,Herring,DTW,0.55,28.156
10,ItalyPowerDemand,DTW,0.92,3.119
11,MoteStrain,DTW,0.9,5.315
12,OliveOil,DTW,0.83,7.867
13,Plane,DTW,1.0,5.932
14,SonyAIBORobotSurface1,DTW,0.66,1.868
15,SonyAIBORobotSurface2,DTW,0.82,3.498
16,UMD,DTW,0.94,2.997
17,BeetleFly,OTW,0.75,0.018
18,BME,OTW,0.86,0.174
19,Coffee,OTW,0.96,0.032
20,SwedishLeaf,OTW,0.79,12.224
21,BirdChicken,OTW,0.6,0.019
22,DistalPhalanxOutlineAgeGroup,OTW,0.64,2.171
23,ECG200,OTW,0.87,0.351
24,FaceFour,OTW,0.92,0.086
25,GunPoint,OTW,0.95,0.274
26,Herring,OTW,0.55,0.176
27,ItalyPowerDemand,OTW,0.92,2.405
28,MoteStrain,OTW,0.8,1.563
29,OliveOil,OTW,0.83,0.047
30,Plane,OTW,0.96,0.405
31,SonyAIBORobotSurface1,OTW,0.74,0.432
32,SonyAIBORobotSurface2,OTW,0.87,0.911
33,UMD,OTW,0.82,0.191
34,BeetleFly,POW,0.8,14.375
35,BME,POW,0.92,7.06
36,Coffee,POW,1.0,4.947
37,SwedishLeaf,POW,0.88,389.191
38,BirdChicken,POW,0.6,8.757
39,DistalPhalanxOutlineAgeGroup,POW,0.64,18.891
40,ECG200,POW,0.89,5.689
41,FaceFour,POW,0.86,16.668
42,GunPoint,POW,0.91,4.493
43,Herring,POW,0.52,73.185
44,ItalyPowerDemand,POW,0.94,8.067
45,MoteStrain,POW,0.85,11.918
46,OliveOil,POW,0.87,8.818
47,Plane,POW,0.96,13.598
48,SonyAIBORobotSurface1,POW,0.73,3.618
49,SonyAIBORobotSurface2,POW,0.86,6.119
50,UMD,POW,0.81,5.923
51,BeetleFly,OPW,0.75,10.174
52,BME,OPW,0.85,3.208
53,Coffee,OPW,0.96,2.533
54,SwedishLeaf,OPW,0.84,314.885
55,BirdChicken,OPW,0.6,3.696
56,DistalPhalanxOutlineAgeGroup,OPW,0.68,19.497
57,ECG200,OPW,0.9,6.165
58,FaceFour,OPW,0.93,17.357
59,GunPoint,OPW,0.95,5.855
60,Herring,OPW,0.59,39.109
61,ItalyPowerDemand,OPW,0.96,8.01
62,MoteStrain,OPW,0.87,9.647
63,OliveOil,OPW,0.83,8.805
64,Plane,OPW,0.96,12.736
65,SonyAIBORobotSurface1,OPW,0.73,4.076
66,SonyAIBORobotSurface2,OPW,0.87,6.231
67,UMD,OPW,0.78,4.769
68,BME,TAOT,0.89,46.973
69,Coffee,TAOT,0.96,7.013
70,BeetleFly,TAOT,0.85,1.909
71,SwedishLeaf,TAOT,0.89,402.101
72,BirdChicken,TAOT,0.85,9.988
73,DistalPhalanxOutlineAgeGroup,TAOT,0.67,10.259
74,ECG200,TAOT,0.71,7.361
75,FaceFour,TAOT,0.87,15.337
76,GunPoint,TAOT,0.51,3.292
77,Herring,TAOT,0.48,58.151
78,ItalyPowerDemand,TAOT,0.67,15.928
79,MoteStrain,TAOT,0.75,10.725
80,OliveOil,TAOT,0.73,9.184
81,Plane,TAOT,0.89,14.437
82,SonyAIBORobotSurface1,TAOT,0.46,5.001
83,SonyAIBORobotSurface2,TAOT,0.73,4.026
84,UMD,TAOT,0.84,5.173
85,BeetleFly,TMW-N-I,0.88,6.198
86,BME,TMW-N-I,1.0,5.01
87,Coffee,TMW-N-I,1.0,1.709
88,SwedishLeaf,TMW-N-I,0.84,197.143
89,BirdChicken,TMW-N-I,0.88,5.124
90,DistalPhalanxOutlineAgeGroup,TMW-N-I,0.76,7.499
91,ECG200,TMW-N-I,0.88,1.858
92,FaceFour,TMW-N-I,0.96,8.054
94,GunPoint,TMW-N-I,0.98,4.784
95,Herring,TMW-N-I,0.46,51.304
96,ItalyPowerDemand,TMW-N-I,0.92,6.945
97,MoteStrain,TMW-N-I,0.98,12.436
98,OliveOil,TMW-N-I,0.83,2.741
99,Plane,TMW-N-I,1.0,4.197
100,SonyAIBORobotSurface1,TMW-N-I,0.99,3.09
101,SonyAIBORobotSurface2,TMW-N-I,0.96,3.346
102,UMD,TMW-N-I,0.97,4.025
103,BeetleFly,TMW-S-I,0.8,5.163
104,BME,TMW-S-I,0.82,40.145
105,Coffee,TMW-S-I,0.97,3.361
106,SwedishLeaf,TMW-S-I,0.87,470.264
107,BirdChicken,TMW-S-I,0.85,26.213
108,DistalPhalanxOutlineAgeGroup,TMW-S-I,0.83,30.845
109,ECG200,TMW-S-I,0.87,6.425
110,FaceFour,TMW-S-I,0.94,16.193
111,GunPoint,TMW-S-I,0.95,4.135
112,Herring,TMW-S-I,0.69,57.235
113,ItalyPowerDemand,TMW-S-I,0.94,9.148
114,MoteStrain,TMW-S-I,0.91,11.295
115,OliveOil,TMW-S-I,0.85,7.1
116,Plane,TMW-S-I,0.99,14.024
117,SonyAIBORobotSurface1,TMW-S-I,0.95,4.139
118,SonyAIBORobotSurface2,TMW-S-I,0.91,5.009
119,UMD,TMW-S-I,0.81,4.106
0,BeetleFly,Euclidean,0.75
1,BME,Euclidean,0.91
2,Coffee,Euclidean,1.0
3,SwedishLeaf,Euclidean,0.79
4,BirdChicken,Euclidean,0.55
5,DistalPhalanxOutlineAgeGroup,Euclidean,0.62
6,ECG200,Euclidean,0.88
7,FaceFour,Euclidean,0.7
8,GunPoint,Euclidean,0.91
9,Herring,Euclidean,0.42
10,ItalyPowerDemand,Euclidean,0.9
11,MoteStrain,Euclidean,0.88
12,OliveOil,Euclidean,0.82
13,Plane,Euclidean,0.94
14,SonyAIBORobotSurface1,Euclidean,0.69
15,SonyAIBORobotSurface2,Euclidean,0.86
16,UMD,Euclidean,0.54
